ml_threshold,abstain_threshold,disagreement_margin,weighted_coverage,weighted_abstain_rate,weighted_accuracy_covered,weighted_f1_macro_covered,weighted_risk_at_coverage,weighted_strict_accuracy
0.6,0.45,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.65,0.35,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.65,0.35,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.65,0.4,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.65,0.4,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.65,0.45,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.65,0.45,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.35,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.35,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.35,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.4,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.4,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.4,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.45,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.45,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.7,0.45,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.35,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.35,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.35,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.35,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.4,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.4,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.4,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.4,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.45,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.45,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.45,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.75,0.45,0.2,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.35,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.35,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.35,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.4,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.4,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.4,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.45,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.45,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.8,0.45,0.15,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.85,0.35,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.85,0.35,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.85,0.4,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.85,0.4,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.85,0.45,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.85,0.45,0.1,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.9,0.35,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.9,0.4,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.9,0.45,0.05,1.0,0.0,0.8834355828220858,0.7370779067536659,0.11656441717791413,0.8834355828220858
0.55,0.35,0.2,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.55,0.4,0.2,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.55,0.45,0.2,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.6,0.35,0.15,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.6,0.4,0.15,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.6,0.45,0.15,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.65,0.35,0.1,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.65,0.4,0.1,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.65,0.45,0.1,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.7,0.35,0.05,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.7,0.4,0.05,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.7,0.45,0.05,1.0,0.0,0.871165644171779,0.7218835878995371,0.12883435582822086,0.871165644171779
0.55,0.35,0.15,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.55,0.4,0.15,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.55,0.45,0.15,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.6,0.35,0.1,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.6,0.4,0.1,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.6,0.45,0.1,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.65,0.35,0.05,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.65,0.4,0.05,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.65,0.45,0.05,1.0,0.0,0.8650306748466257,0.7137053482777791,0.13496932515337426,0.8650306748466257
0.55,0.35,0.1,1.0,0.0,0.8588957055214723,0.706024559866666,0.14110429447852763,0.8588957055214723
0.55,0.4,0.1,1.0,0.0,0.8588957055214723,0.706024559866666,0.14110429447852763,0.8588957055214723
0.55,0.45,0.1,1.0,0.0,0.8588957055214723,0.706024559866666,0.14110429447852763,0.8588957055214723
0.6,0.35,0.05,1.0,0.0,0.8588957055214723,0.706024559866666,0.14110429447852763,0.8588957055214723
0.6,0.4,0.05,1.0,0.0,0.8588957055214723,0.706024559866666,0.14110429447852763,0.8588957055214723
0.6,0.45,0.05,1.0,0.0,0.8588957055214723,0.706024559866666,0.14110429447852763,0.8588957055214723
